gene_name	ensembl_transcript	refseq_transcript
WBP1L	ENST00000448841	NM_001083913.2
INPP5A	ENST00000368594	NM_005539.5
CHST15	ENST00000435907	NM_001270764.2
TACC2	ENST00000369005	NM_206862.4
HABP2	ENST00000351270	NM_004132.5
KCNK18	ENST00000334549	NM_181840.1
NKX1-2	ENST00000451024	NM_001146340.3
LHPP	ENST00000368842	NM_022126.4
HTRA1	ENST00000368984	NM_002775.5
PDZD8	ENST00000334464	NM_173791.5
TM9SF3	ENST00000371142	NM_020123.4
ZDHHC16	ENST00000393760	NM_198046.3
PPP2R2D	ENST00000455566	NM_018461.5
INSYN2A	ENST00000522781	NM_001039762.3
WDR11	ENST00000263461	NM_018117.12
EXOSC1	ENST00000370902	NM_016046.5
ACADSB	ENST00000358776	NM_001609.4
RBM20	ENST00000369519	NM_001134363.3
XPNPEP1	ENST00000502935	NM_020383.4
FOXI2	ENST00000388920	NM_207426.3
SLC18A2	ENST00000644641	NM_003054.6
SHTN1	ENST00000355371	NM_001127211.3
GPR26	ENST00000284674	NM_153442.4
ATRNL1	ENST00000355044	NM_207303.4
STK32C	ENST00000298630	NM_173575.4
BUB3	ENST00000368865	NM_004725.4
ARMS2	ENST00000528446	NM_001099667.3
TCERG1L	ENST00000368642	NM_174937.4
WNT8B	ENST00000343737	NM_003393.4
ZNF488	ENST00000585316	NM_153034.4
CCDC172	ENST00000333254	NM_198515.3
RGS10	ENST00000369103	NM_001005339.2
NRG3	ENST00000372141	NM_001010848.4
VAX1	ENST00000369206	NM_001112704.2
GJD4	ENST00000321660	NM_153368.3
ADD3	ENST00000356080	NM_016824.5
CPXM2	ENST00000241305	NM_198148.3
GPR158	ENST00000376351	NM_020752.3
MMS19	ENST00000438925	NM_022362.5
NHLRC2	ENST00000369301	NM_198514.4
EMX2	ENST00000553456	NM_004098.4
RTKN2	ENST00000373789	NM_145307.4
OPALIN	ENST00000371172	NM_033207.5
GSTO2	ENST00000338595	NM_183239.2
LRRC27	ENST00000368614	NM_030626.3
PWWP2B	ENST00000305233	NM_138499.4
PSD	ENST00000020673	NM_002779.5
CUEDC2	ENST00000369937	NM_024040.3
C10orf95	ENST00000625129	NM_001363580.1
MFSD13A	ENST00000238936	NM_024789.4
ACTR1A	ENST00000369905	NM_005736.4
PLAU	ENST00000372764	NM_002658.6
ANKRD1	ENST00000371697	NM_014391.3
WASHC2A	ENST00000282633	NM_001005751.3
ZNF365	ENST00000395254	NM_014951.3
PLPP4	ENST00000398250	NM_001030059.3
SKIDA1	ENST00000449193	NM_207371.4
NPS	ENST00000398023	NM_001030013.2
OLAH	ENST00000378228	NM_001039702.3
BAG3	ENST00000369085	NM_004281.4
PRKG1	ENST00000373980	NM_006258.4
VCL	ENST00000211998	NM_014000.3
SUFU	ENST00000369902	NM_016169.4
NRAP	ENST00000359988	NM_198060.4
MASTL	ENST00000375940	NM_001172303.3
ANKRD26	ENST00000376087	NM_014915.3
SLIT1	ENST00000266058	NM_003061.3
NET1	ENST00000355029	NM_001047160.3
CALML5	ENST00000380332	NM_017422.5
CALML3	ENST00000315238	NM_005185.4
ASB13	ENST00000357700	NM_024701.4
GDI2	ENST00000380191	NM_001494.4
CEP55	ENST00000371485	NM_018131.5
FFAR4	ENST00000371481	NM_001195755.2
PDE6C	ENST00000371447	NM_006204.4
FRA10AC1	ENST00000359204	NM_145246.5
LGI1	ENST00000371418	NM_005097.4
CDNF	ENST00000465530	NM_001029954.3
HSPA14	ENST00000378372	NM_016299.4
CNNM2	ENST00000369878	NM_017649.5
RPEL1	ENST00000441178	NM_001143909.1
INA	ENST00000369849	NM_032727.4
PCGF6	ENST00000369847	NM_001011663.2
ATP5MK	ENST00000369815	NM_001206427.2
SLC35G1	ENST00000427197	NM_001134658.3
NOC3L	ENST00000371361	NM_022451.11
TBC1D12	ENST00000225235	NM_015188.2
TUBB8	ENST00000568584	NM_177987.3
MBL2	ENST00000674931	NM_001378373.1
FAM25C	ENST00000617224	NM_001137548.3
LIPF	ENST00000238983	NM_004190.4
LIPM	ENST00000404743	NM_001128215.1
LIPN	ENST00000404459	NM_001102469.2
MAP3K8	ENST00000263056	NM_005204.4
SMNDC1	ENST00000369603	NM_005871.4
DUSP5	ENST00000369583	NM_004419.4
MTPAP	ENST00000263063	NM_018109.4
SRGN	ENST00000242465	NM_002727.4
ANXA8	ENST00000585281	NM_001040084.3
LCOR	ENST00000421806	NM_001346516.2
KIFBP	ENST00000361983	NM_015634.4
RPP30	ENST00000371703	NM_006413.5
NEBL	ENST00000377122	NM_006393.3
DOCK1	ENST00000623213	NM_001290223.2
CFAP43	ENST00000357060	NM_025145.7
HSPA12A	ENST00000369209	NM_025015.3
MYOZ1	ENST00000359322	NM_021245.4
SYNPO2L	ENST00000394810	NM_001114133.3
SEC24C	ENST00000345254	NM_198597.3
FUT11	ENST00000372841	NM_173540.3
CHCHD1	ENST00000372833	NM_203298.3
ZSWIM8	ENST00000604729	NM_001367799.1
NDST2	ENST00000309979	NM_003635.4
C10orf71	ENST00000374144	NM_001135196.2
TIMM23	ENST00000580018	NM_006327.4
MSMB	ENST00000582163	NM_002443.4
VPS26A	ENST00000263559	NM_004896.5
SUPV3L1	ENST00000359655	NM_003171.5
HKDC1	ENST00000354624	NM_025130.4
TSPAN15	ENST00000373290	NM_012339.5
FAM241B	ENST00000373279	NM_145306.3
ACBD5	ENST00000396271	NM_145698.5
KIF11	ENST00000260731	NM_004523.4
AIFM2	ENST00000307864	NM_032797.6
PPA1	ENST00000373232	NM_021129.4
TYSND1	ENST00000287078	NM_173555.4
NSMCE4A	ENST00000369023	NM_017615.3
HPS6	ENST00000299238	NM_024747.6
LDB1	ENST00000673968	NM_001113407.3
PPRC1	ENST00000278070	NM_015062.5
NOLC1	ENST00000605788	NM_004741.5
ELOVL3	ENST00000370005	NM_152310.3
PITRM1	ENST00000224949	NM_014889.4
SFTPD	ENST00000372292	NM_003019.5
TMEM254	ENST00000372281	NM_025125.4
MACROH2A2	ENST00000373255	NM_018649.3
NPFFR1	ENST00000277942	NM_022146.5
MLLT10	ENST00000307729	NM_001195626.3
EPC1	ENST00000319778	NM_001272004.3
TIMM23B	ENST00000651259	NM_001290117.2
CABCOCO1	ENST00000648843	NM_001366906.2
MSANTD7	ENST00000640019	NM_001378785.1
NUTM2D	ENST00000381697	NM_001382304.1
AP3M1	ENST00000355264	NM_012095.6
HERC4	ENST00000373700	NM_015601.4
MXI1	ENST00000332674	NM_130439.3
HECTD2	ENST00000298068	NM_182765.6
ADK	ENST00000539909	NM_006721.4
IFIT1B	ENST00000371809	NM_001010987.2
IFIT1	ENST00000371804	NM_001548.5
SLC16A12	ENST00000371790	NM_213606.4
ANAPC16	ENST00000299381	NM_173473.4
DDIT4	ENST00000307365	NM_019058.4
HACD1	ENST00000361271	NM_014241.4
STAM	ENST00000377524	NM_003473.4
TMEM236	ENST00000377495	NM_001098844.3
GTPBP4	ENST00000360803	NM_012341.3
IDI2	ENST00000277517	NM_033261.3
ANXA8L1	ENST00000619162	NM_001098845.3
NPY4R	ENST00000374312	NM_005972.6
STOX1	ENST00000298596	NM_152709.5
DDX50	ENST00000373585	NM_024045.2
C10orf105	ENST00000441508	NM_001164375.3
VSIR	ENST00000394957	NM_022153.2
CDH23	ENST00000224721	NM_022124.6
PPIF	ENST00000225174	NM_005729.4
ZCCHC24	ENST00000372336	NM_153367.4
SFTPA2	ENST00000372325	NM_001098668.4
SFTPA1	ENST00000398636	NM_005411.5
WAPL	ENST00000298767	NM_015045.5
CYP2C9	ENST00000260682	NM_000771.4
CYP2C8	ENST00000371270	NM_000770.3
ALDH18A1	ENST00000371224	NM_002860.4
ENTPD1	ENST00000371205	NM_001776.6
LOXL4	ENST00000260702	NM_032211.7
SORCS3	ENST00000369701	NM_014978.3
MCMBP	ENST00000369077	NM_001256378.2
CH25H	ENST00000371852	NM_003956.4
LIPA	ENST00000336233	NM_000235.4
TCTN3	ENST00000371217	NM_015631.6
IFIT3	ENST00000371818	NM_001549.6
OGDHL	ENST00000374103	NM_018245.3
SGMS1	ENST00000361781	NM_147156.4
PAPSS2	ENST00000456849	NM_001015880.2
ATAD1	ENST00000680024	NM_001321967.2
KLLN	ENST00000445946	NM_001126049.2
ARID5B	ENST00000279873	NM_032199.3
MSS51	ENST00000299432	NM_001024593.2
PPP3CB	ENST00000360663	NM_021132.4
SEC31B	ENST00000370345	NM_015490.4
NDUFB8	ENST00000299166	NM_005004.4
HIF1AN	ENST00000299163	NM_017902.3
SLF2	ENST00000238961	NM_018121.4
TWNK	ENST00000311916	NM_021830.5
PDZD7	ENST00000619208	NM_001195263.2
KAZALD1	ENST00000370200	NM_030929.5
IFIT2	ENST00000371826	NM_001547.5
BAMBI	ENST00000375533	NM_012342.3
UTF1	ENST00000304477	NM_003577.3
VENTX	ENST00000325980	NM_014468.4
ADAM8	ENST00000445355	NM_001109.5
ZNF511	ENST00000361518	NM_145806.4
CALY	ENST00000252939	NM_015722.4
PRAP1	ENST00000433452	NM_145202.5
FUOM	ENST00000278025	NM_001098483.3
ECHS1	ENST00000368547	NM_004092.4
PAOX	ENST00000278060	NM_152911.4
ERCC6	ENST00000355832	NM_000124.4
ERCC6	ENST00000447839	NM_001277058.2
CHAT	ENST00000337653	NM_020549.5
SLC18A3	ENST00000374115	NM_003055.3
ZNF248	ENST00000395867	NM_021045.3
NCOA4	ENST00000581486	NM_001145263.2
DRGX	ENST00000374139	NM_001276451.2
EIF5AL1	ENST00000520547	NM_001099692.2
HMX2	ENST00000339992	NM_005519.2
PARG	ENST00000616448	NM_003631.5
FZD8	ENST00000374694	NM_031866.3
TIAL1	ENST00000436547	NM_003252.4
SLC16A9	ENST00000395348	NM_194298.3
FAM107B	ENST00000181796	NM_031453.4
SFR1	ENST00000369727	NM_001002759.2
OGA	ENST00000361464	NM_012215.5
KCNIP2	ENST00000356640	NM_173191.3
KNDC1	ENST00000304613	NM_152643.8
FGF8	ENST00000320185	NM_033163.5
GFRA1	ENST00000355422	NM_005264.8
MMRN2	ENST00000372027	NM_024756.3
SNCG	ENST00000372017	NM_003087.3
ADIRF	ENST00000372013	NM_006829.3
FAM25A	ENST00000343959	NM_001146157.3
SHLD2	ENST00000298786	NM_001330112.2
RAB18	ENST00000356940	NM_021252.5
ADGRA1	ENST00000392607	NM_001083909.3
GPAM	ENST00000348367	NM_001244949.2
TECTB	ENST00000646139	NM_058222.3
ZEB1	ENST00000424869	NM_001174096.2
TUBGCP2	ENST00000252936	NM_006659.4
ZDHHC6	ENST00000369405	NM_022494.3
EIF4EBP2	ENST00000373218	NM_004096.5
NODAL	ENST00000287139	NM_018055.5
EBF3	ENST00000440978	NM_001375380.1
C10orf143	ENST00000637128	NM_001355042.2
GLRX3	ENST00000331244	NM_006541.5
ACSL5	ENST00000354655	NM_203379.2
RET	ENST00000355710	NM_020975.6
CSGALNACT2	ENST00000374466	NM_018590.5
RASGEF1A	ENST00000395810	NM_145313.4
GLUD1	ENST00000277865	NM_005271.5
CTNNA3	ENST00000433211	NM_013266.4
DNAJC12	ENST00000225171	NM_021800.3
SIRT1	ENST00000212015	NM_012238.5
DNAJB12	ENST00000444643	NM_017626.7
FBXL15	ENST00000369956	NM_024326.4
SH2D4B	ENST00000646907	NM_001388272.1
ANTXRL	ENST00000620264	NM_001278688.3
SYT15B	ENST00000615923	NM_001370184.1
AGAP5	ENST00000374094	NM_001144000.4
LBX1	ENST00000370193	NM_006562.5
FAM25G	ENST00000452267	NM_001137549.2
ADAM12	ENST00000448723	NM_001288973.2
LIPK	ENST00000404190	NM_001080518.2
MPP7	ENST00000683449	NM_001318170.2
SFMBT2	ENST00000397167	NM_001387889.1
ASAH2	ENST00000682911	NM_019893.4
FXYD4	ENST00000476166	NM_173160.3
HNRNPF	ENST00000682386	NM_001098204.2
ZNF239	ENST00000374446	NM_001099282.2
ZNF485	ENST00000361807	NM_145312.4
ZNF32	ENST00000374433	NM_006973.3
CCNJ	ENST00000465148	NM_001134375.2
PRF1	ENST00000441259	NM_001083116.3
ADAMTS14	ENST00000373207	NM_080722.4
PCBD1	ENST00000299299	NM_000281.4
TBATA	ENST00000456372	NM_001318241.2
TLX1	ENST00000370196	NM_005521.4
CALHM2	ENST00000260743	NM_015916.5
CALHM1	ENST00000329905	NM_001001412.4
CALHM3	ENST00000369783	NM_001129742.2
PTPN20	ENST00000374339	NM_001042357.5
OPN4	ENST00000241891	NM_033282.4
BNIP3	ENST00000368636	NM_004052.4
CYP2E1	ENST00000252945	NM_000773.4
SYCE1	ENST00000343131	NM_001143764.3
SPRN	ENST00000685335	NM_001391974.1
ATOH7	ENST00000373673	NM_145178.4
PBLD	ENST00000358769	NM_022129.4
HNRNPH3	ENST00000265866	NM_012207.3
ZNF37A	ENST00000685332	NM_001324250.3
TACR2	ENST00000373306	NM_001057.3
ZMIZ1	ENST00000334512	NM_020338.4
PSAP	ENST00000394936	NM_002778.4
WASHC2C	ENST00000623400	NM_001330074.2
CAMK1D	ENST00000619168	NM_153498.4
MICU1	ENST00000361114	NM_001195518.2
RBP4	ENST00000371464	NM_006744.4
ARHGAP21	ENST00000396432	NM_020824.4
JMJD1C	ENST00000399262	NM_032776.3
ALOX5	ENST00000374391	NM_000698.5
PRKCQ	ENST00000263125	NM_006257.5
YME1L1	ENST00000376016	NM_014263.4
SMC3	ENST00000361804	NM_005445.4
MYPN	ENST00000358913	NM_032578.4
LDB3	ENST00000263066	NM_001368067.1
LDB3	ENST00000361373	NM_007078.3
DPYSL4	ENST00000338492	NM_006426.3
JAKMIP3	ENST00000684848	NM_001323087.2
AGAP4	ENST00000616763	NM_001276343.3
GBF1	ENST00000369983	NM_001377137.1
AKR1C2	ENST00000380753	NM_001393392.1
BTAF1	ENST00000265990	NM_003972.3
NEURL1	ENST00000369780	NM_004210.5
USP6NL	ENST00000609104	NM_014688.5
SVIL	ENST00000355867	NM_021738.3
MCU	ENST00000373053	NM_138357.3
NUTM2E	ENST00000429984	NM_001355263.2
PLCE1	ENST00000371380	NM_016341.4
LRRTM3	ENST00000361320	NM_178011.5
TAF3	ENST00000344293	NM_031923.4
PDCD4	ENST00000280154	NM_014456.5
BBIP1	ENST00000448814	NM_001195305.3
SHOC2	ENST00000369452	NM_007373.4
ADRA2A	ENST00000280155	NM_000681.4
EGR2	ENST00000242480	NM_000399.5
TAF5	ENST00000369839	NM_006951.5
USP54	ENST00000687698	NM_001391956.1
FRMPD2	ENST00000374201	NM_001018071.4
MAPK8	ENST00000374189	NM_001323329.2
ARHGAP22	ENST00000249601	NM_021226.4
DDX21	ENST00000354185	NM_004728.4
ANKRD22	ENST00000371930	NM_144590.3
STAMBPL1	ENST00000371926	NM_020799.4
NUDT13	ENST00000357321	NM_015901.6
ECD	ENST00000372979	NM_007265.3
FAM149B1	ENST00000242505	NM_173348.2
DNAJC9	ENST00000372950	NM_015190.5
MRPS16	ENST00000372945	NM_016065.4
ANXA7	ENST00000372921	NM_001156.5
CELF2	ENST00000633077	NM_001326342.2
CFAP70	ENST00000355577	NM_001367801.1
ATE1	ENST00000224652	NM_001001976.3
GHITM	ENST00000372134	NM_014394.3
GPR15LG	ENST00000372126	NM_207373.3
CDHR1	ENST00000623527	NM_033100.4
LRIT2	ENST00000372113	NM_001017924.5
RGR	ENST00000652092	NM_001012720.2
LRIT1	ENST00000372105	NM_015613.3
VIM	ENST00000544301	NM_003380.5
TMEM72	ENST00000389583	NM_001123376.3
LRRC20	ENST00000446961	NM_001278212.2
EBLN1	ENST00000422359	NM_001394757.1
COMMD3	ENST00000376836	NM_012071.4
BMI1	ENST00000376663	NM_005180.9
ADRB1	ENST00000369295	NM_000684.3
CCDC186	ENST00000369287	NM_018017.4
VWA2	ENST00000392982	NM_001272046.2
SYT15	ENST00000374321	NM_031912.5
GPRIN2	ENST00000374314	NM_001385282.1
PLEKHA1	ENST00000368990	NM_001001974.4
SH3PXD2A	ENST00000369774	NM_001394015.1
WDFY4	ENST00000325239	NM_001394531.1
MRPL43	ENST00000318364	NM_032112.3
LARP4B	ENST00000316157	NM_015155.3
CASP7	ENST00000369318	NM_001227.5
DCLRE1A	ENST00000361384	NM_014881.5
PLEKHS1	ENST00000694986	NM_001395068.1
TDRD1	ENST00000695399	NM_001395205.1
LZTS2	ENST00000454422	NM_001318100.2
AKR1E2	ENST00000298375	NM_001040177.3
AKR1C1	ENST00000380872	NM_001353.6
ANKRD16	ENST00000380094	NM_019046.3
FBH1	ENST00000362091	NM_178150.3
IL15RA	ENST00000379977	NM_002189.4
IDI1	ENST00000381344	NM_004508.4
LYZL2	ENST00000647634	NM_183058.3
ZNF518A	ENST00000316045	NM_001330736.2
BLNK	ENST00000224337	NM_013314.4
OTUD1	ENST00000376495	NM_001145373.3
KIAA1217	ENST00000376454	NM_019590.5
PARD3	ENST00000374788	NM_001184785.2
ANKRD30A	ENST00000361713	NM_052997.3
CNNM1	ENST00000356713	NM_020348.3
GOT1	ENST00000370508	NM_002079.3
AFAP1L2	ENST00000304129	NM_001001936.3
OPTN	ENST00000378747	NM_001008212.2
MCM10	ENST00000378714	NM_018518.5
UCMA	ENST00000378681	NM_145314.3
PHYH	ENST00000263038	NM_006214.4
ZNF438	ENST00000436087	NM_001143768.2
SUV39H2	ENST00000354919	NM_001193424.2
MEIG1	ENST00000407572	NM_001080836.3
FAS	ENST00000652046	NM_000043.6
IL2RA	ENST00000379959	NM_000417.3
RBM17	ENST00000379888	NM_032905.5
PFKFB3	ENST00000379775	NM_004566.4
PALD1	ENST00000263563	NM_014431.3
SEMA4G	ENST00000210633	NM_017893.4
CYP17A1	ENST00000369887	NM_000102.4
BORCS7	ENST00000339834	NM_001136200.2
AS3MT	ENST00000369880	NM_020682.4
NT5C2	ENST00000404739	NM_001351169.2
UNC5B	ENST00000335350	NM_170744.5
SLC29A3	ENST00000373189	NM_018344.6
NFKB2	ENST00000661543	NM_001322934.2
SGPL1	ENST00000373202	NM_003901.4
SLK	ENST00000369755	NM_014720.4
COL17A1	ENST00000648076	NM_000494.4
STN1	ENST00000224950	NM_024928.5
PDLIM1	ENST00000329399	NM_020992.4
ACSM6	ENST00000394005	NM_207321.3
VSTM4	ENST00000332853	NM_001031746.5
FAM170B	ENST00000311787	NM_001164484.2
LRRC18	ENST00000374160	NM_001378102.1
CYP2C18	ENST00000285979	NM_000772.3
PNLIPRP1	ENST00000358834	NM_006229.4
SPMIP5	ENST00000588184	NM_001350931.2
DLG5	ENST00000372391	NM_004747.4
POLR3A	ENST00000372371	NM_007055.4
RPS24	ENST00000372360	NM_033022.4
HELLS	ENST00000348459	NM_018063.5
NUTM2B	ENST00000429828	NM_001278495.2
TASOR2	ENST00000695737	NM_001321783.2
PYROXD2	ENST00000370575	NM_032709.3
HPS1	ENST00000361490	NM_000195.5
PFKP	ENST00000381125	NM_002627.5
PRPF18	ENST00000378572	NM_003675.4
PNLIP	ENST00000369221	NM_000936.4
TSPAN14	ENST00000429989	NM_030927.4
SFXN3	ENST00000393459	NM_030971.6
SCART1	ENST00000640237	NM_001396050.1
LIPJ	ENST00000371939	NM_001010939.3
NPY4R2	ENST00000576178	NM_001395253.1
NPM3	ENST00000370110	NM_006993.3
AKR1C8	ENST00000648824	NM_001395972.1
NKX2-3	ENST00000344586	NM_145285.3
ENTPD7	ENST00000370489	NM_020354.5
CUTC	ENST00000370476	NM_015960.3
COX15	ENST00000016171	NM_078470.6
CCDC6	ENST00000263102	NM_005436.5
CDK1	ENST00000395284	NM_001786.5
SLC25A28	ENST00000370495	NM_031212.4
NKX6-2	ENST00000368592	NM_177400.3
CFAP46	ENST00000368586	NM_001200049.3
FRMD4A	ENST00000357447	NM_018027.5
IPMK	ENST00000373935	NM_152230.5
CISD1	ENST00000333926	NM_018464.5
GATA3	ENST00000379328	NM_001002295.2
HK1	ENST00000643399	NM_001358263.1
HK1	ENST00000359426	NM_000188.3
CCDC7	ENST00000639629	NM_001395015.1
ZMYND11	ENST00000381604	NM_001370100.5
TCF7L2	ENST00000355995	NM_001367943.1
WDR37	ENST00000263150	NM_014023.4
CACNB2	ENST00000324631	NM_201596.3
CACNB2	ENST00000377329	NM_201590.3
NSUN6	ENST00000377304	NM_182543.5
ARL5B	ENST00000377275	NM_178815.5
PCDH15	ENST00000644397	NM_001384140.1
PCDH15	ENST00000320301	NM_033056.4
INPP5F	ENST00000650623	NM_014937.4
SEC23IP	ENST00000369075	NM_007190.4
ANK3	ENST00000280772	NM_020987.5
AGAP6	ENST00000412531	NM_001077665.3
VTI1A	ENST00000393077	NM_145206.4
CREM	ENST00000685392	NM_183011.2
COL13A1	ENST00000645393	NM_001368882.1
ZRANB1	ENST00000359653	NM_017580.3
CTBP2	ENST00000309035	NM_022802.3
NEUROG3	ENST00000242462	NM_020999.4
WAC	ENST00000354911	NM_016628.5
PLAC9	ENST00000372263	NM_001012973.3
PPP1R3C	ENST00000238994	NM_005398.7
DCLRE1C	ENST00000378278	NM_001033855.3
IDE	ENST00000265986	NM_004969.4
IFIT5	ENST00000371795	NM_012420.3
ITGB1	ENST00000302278	NM_002211.4
PCGF5	ENST00000336126	NM_032373.5
C10orf90	ENST00000488181	NM_001350921.2
OIT3	ENST00000334011	NM_152635.3
PLA2G12B	ENST00000373032	NM_032562.5
P4HA1	ENST00000394890	NM_001017962.3
PAX2	ENST00000355243	NM_000278.5
HTR7	ENST00000336152	NM_019859.4
ASAH2B	ENST00000647317	NM_001321958.2
A1CF	ENST00000373997	NM_014576.4
PDSS1	ENST00000376215	NM_014317.5
ABI1	ENST00000376140	NM_001012750.3
ABLIM1	ENST00000533213	NM_002313.7
TRUB1	ENST00000298746	NM_139169.5
DUSP29	ENST00000338487	NM_001003892.3
SAMD8	ENST00000542569	NM_001174156.2
VDAC2	ENST00000332211	NM_001391963.1
COMTD1	ENST00000372538	NM_144589.4
CAMK2G	ENST00000423381	NM_001367534.1
CUL2	ENST00000374749	NM_003591.4
SEPHS1	ENST00000327347	NM_012247.5
BEND7	ENST00000466271	NM_001369863.1
KCNMA1	ENST00000286628	NM_001161352.2
TMEM273	ENST00000374153	NM_001288740.3
SORBS1	ENST00000371247	NM_001034954.3
CLRN3	ENST00000368671	NM_152311.5
PTPRE	ENST00000254667	NM_006504.6
MKI67	ENST00000368654	NM_002417.5
DIP2C	ENST00000280886	NM_014974.3
RNLS	ENST00000331772	NM_001031709.3
CC2D2B	ENST00000646931	NM_001349008.3
UBTD1	ENST00000370664	NM_024954.5
ANKRD2	ENST00000370655	NM_001346793.2
HOGA1	ENST00000370646	NM_138413.4
C10orf62	ENST00000370640	NM_001009997.3
MORN4	ENST00000307450	NM_178832.4
PI4K2A	ENST00000370631	NM_018425.4
AVPI1	ENST00000370626	NM_021732.3
MARVELD1	ENST00000285605	NM_031484.4
ZFYVE27	ENST00000684270	NM_001385875.1
SFRP5	ENST00000266066	NM_003015.3
GOLGA7B	ENST00000370602	NM_001010917.3
CRTAC1	ENST00000370597	NM_018058.7
R3HCC1L	ENST00000298999	NM_001351015.2
HPSE2	ENST00000370552	NM_021828.5
ABCC2	ENST00000647814	NM_000392.5
DNMBP	ENST00000324109	NM_015221.4
CPN1	ENST00000370418	NM_001308.3
ERLIN1	ENST00000421367	NM_006459.4
CHUK	ENST00000370397	NM_001278.5
CWF19L1	ENST00000354105	NM_018294.6
BLOC1S2	ENST00000370372	NM_173809.5
PKD2L1	ENST00000318222	NM_016112.3
SCD	ENST00000370355	NM_005063.5
ZNF503	ENST00000372524	NM_032772.6
LRMDA	ENST00000611255	NM_001305581.2
EEF1AKMT2	ENST00000368836	NM_212554.4
ABRAXAS2	ENST00000298492	NM_032182.4
ADO	ENST00000373783	NM_032804.6
ACTA2	ENST00000224784	NM_001613.4
BMPR1A	ENST00000372037	NM_004329.3
TRIM8	ENST00000643721	NM_030912.3
ARL3	ENST00000260746	NM_004311.4
SFXN2	ENST00000369893	NM_178858.6
TNKS2	ENST00000371627	NM_025235.4
FGFBP3	ENST00000311575	NM_152429.5
FHIP2A	ENST00000369248	NM_020940.4
PTEN	ENST00000371953	NM_000314.8
SORCS1	ENST00000263054	NM_052918.5
FGFR2	ENST00000358487	NM_000141.5
FGFR2	ENST00000457416	NM_022970.4
ECHDC3	ENST00000379215	NM_024693.5
PROSER2	ENST00000277570	NM_153256.4
UPF2	ENST00000357604	NM_015542.4
DHTKD1	ENST00000263035	NM_018706.7
SEC61A2	ENST00000298428	NM_018144.4
NUDT5	ENST00000491614	NM_014142.4
CDC123	ENST00000281141	NM_006023.3
PTER	ENST00000535784	NM_001261836.2
C1QL3	ENST00000298943	NM_001010908.2
RSU1	ENST00000345264	NM_012425.4
CXCL12	ENST00000343575	NM_199168.4
C10orf53	ENST00000374111	NM_001042427.3
RUFY2	ENST00000602465	NM_001330103.2
DNA2	ENST00000358410	NM_001080449.3
SLC25A16	ENST00000609923	NM_152707.4
TET1	ENST00000373644	NM_030625.3
SAR1A	ENST00000373241	NM_020150.5
CHST3	ENST00000373115	NM_004273.5
SPOCK2	ENST00000373109	NM_001244950.2
ASCC1	ENST00000672957	NM_001198800.3
PITX3	ENST00000370002	NM_005029.4
NANOS1	ENST00000425699	NM_199461.4
EIF3A	ENST00000369144	NM_003750.4
DENND10	ENST00000361432	NM_207009.4
SFXN4	ENST00000355697	NM_213649.2
PRDX3	ENST00000298510	NM_006793.5
GRK5	ENST00000392870	NM_005308.3
PANK1	ENST00000307534	NM_148977.3
KIF20B	ENST00000371728	NM_001284259.2
ZNF487	ENST00000437590	NM_001355444.3
DMBT1	ENST00000338354	NM_001377530.1
SPADH	ENST00000652090	NM_001364461.3
DUSP13B	ENST00000478873	NM_001363514.2
DUSP13A	ENST00000713560	NM_001007271.3
C10orf120	ENST00000329446	NM_001010912.4
CUZD1	ENST00000392790	NM_022034.6
FAM24B	ENST00000368898	NM_152644.3
FAM24A	ENST00000368894	NM_001029888.3
C10orf88	ENST00000481909	NM_024942.4
PSTK	ENST00000406217	NM_001363531.2
IKZF5	ENST00000368886	NM_001372123.1
FANK1	ENST00000368693	NM_145235.5
ENO4	ENST00000341276	NM_001242699.2
TEX36	ENST00000368821	NM_001128202.3
EDRF1	ENST00000356792	NM_001202438.2
MMP21	ENST00000368808	NM_147191.1
UROS	ENST00000368797	NM_000375.3
BCCIP	ENST00000278100	NM_078468.3
DHX32	ENST00000284690	NM_018180.3
TOLLIP	ENST00000317204	NM_019009.4
MUC5B	ENST00000529681	NM_002458.3
BRSK2	ENST00000528841	NM_001256627.2
ZNF215	ENST00000278319	NM_013250.4
GALNT18	ENST00000227756	NM_198516.3
CALCB	ENST00000324229	NM_000728.4
ZDHHC13	ENST00000446113	NM_019028.3
ZNF214	ENST00000278314	NM_013249.4
MUC5AC	ENST00000621226	NM_001304359.2
RBMXL2	ENST00000306904	NM_014469.5
ANO3	ENST00000256737	NM_031418.4
CSRP3	ENST00000265968	NM_003476.5
SYT9	ENST00000318881	NM_175733.4
CSNK2A3	ENST00000528848	NM_001256686.2
FANCF	ENST00000327470	NM_022725.4
ARL14EP	ENST00000282032	NM_152316.3
SERGEF	ENST00000265965	NM_012139.4
CAT	ENST00000241052	NM_001752.4
EIF3M	ENST00000531120	NM_006360.6
ZNF143	ENST00000396602	NM_003442.6
DBX1	ENST00000524983	NM_001029865.4
BBOX1	ENST00000263182	NM_003986.3
LUZP2	ENST00000336930	NM_001009909.4
FJX1	ENST00000317811	NM_014344.4
OR4C13	ENST00000555099	NM_001001955.2
WT1	ENST00000452863	NM_024426.6
RRAS2	ENST00000256196	NM_012250.6
SPON1	ENST00000576479	NM_006108.4
OR5L2	ENST00000378397	NM_001004739.1
FOLH1	ENST00000256999	NM_004476.3
SVIP	ENST00000354193	NM_148893.3
DNAJC24	ENST00000465995	NM_181706.5
